No,_address,_body,date,Amount,Action,Transaction_Type,Action_Code,Amount_Normalized,Amount_Standardized
16,AD-FEDBNK,Rs 32.00 debited from your A/c using UPI on 07-08-2023 11:59:15 to VPA paytmqr2810050501018u1r6o6n8g9n@paytm - (UPI Ref No 321963402710)-Federal Bank,07-08-2023 11:59,32.0,debited,0,1,0.0011481906737286565,-0.16953037791956896
17,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 07-08-2023 16:22:09 to VPA Q709717496@ybl - (UPI Ref No 321973365554)-Federal Bank,07-08-2023 16:22,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
18,AX-FEDBNK,Rs 104.00 debited from your A/c using UPI on 07-08-2023 16:44:22 to VPA paytmqr281005050101ndz7dgs0cia5@paytm - (UPI Ref No 321974173528)-Federal Bank,07-08-2023 16:44,104.0,debited,0,1,0.0038149561094855365,-0.11417792409258182
19,AX-FEDBNK,Rs 22.00 debited from your A/c using UPI on 07-08-2023 21:35:01 to VPA paytmqrc6gfyecxwa@paytm - (UPI Ref No 321987587617)-Federal Bank,07-08-2023 21:35,22.0,debited,0,1,0.00077780658542909,-0.17721821872887272
20,AX-FEDBNK,Rs 1000.00 debited from your A/c using UPI on 07-08-2023 22:42:16 to VPA hemang.sengar@upi - (UPI Ref No 321922232645)-Federal Bank,07-08-2023 22:42,1000.0,debited,0,1,0.03700137042112671,0.5746526124210358
21,AX-FEDBNK,Rs 200.00 debited from your A/c using UPI on 08-08-2023 16:57:57 to VPA paytmqr2810050501011x4kskb36qqs@paytm - (UPI Ref No 322020746167)-Federal Bank,08-08-2023 16:58,200.0,debited,0,1,0.0073706433571613765,-0.04037465232326565
22,AX-FEDBNK,Rs 25.00 debited from your A/c using UPI on 08-08-2023 17:39:36 to VPA paytmqr2810050501011jrupy6ln49l@paytm - (UPI Ref No 322022349537)-Federal Bank,08-08-2023 17:39,25.0,debited,0,1,0.00088892181191896,-0.1749118664860816
23,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 08-08-2023 17:53:21 to VPA Q695391644@ybl - (UPI Ref No 322022927567)-Federal Bank,08-08-2023 17:53,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
24,AD-FEDBNK,Rs 50.00 debited from your A/c using UPI on 09-08-2023 11:47:46 to VPA Q180640814@ybl - (UPI Ref No 322145362673)-Federal Bank,09-08-2023 11:47,50.0,debited,0,1,0.0018148820326678765,-0.15569226446282217
25,AX-FEDBNK,Rs 100.00 debited from your A/c using UPI on 09-08-2023 13:07:38 to VPA Q491231354@ybl - (UPI Ref No 322148372323)-Federal Bank,09-08-2023 13:07,100.0,debited,0,1,0.00366680247416571,-0.11725306041630333
26,AX-FEDBNK,Rs 49.00 debited from your A/c using UPI on 10-08-2023 16:11:39 to VPA swiggy@yespay - (UPI Ref No 358802135477)-Federal Bank,10-08-2023 16:11,49.0,debited,0,1,0.0017778436238379198,-0.15646104854375253
27,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 10-08-2023 21:03:35 to VPA paytmqr1k3nbp3fhm@paytm - (UPI Ref No 322214489564)-Federal Bank,10-08-2023 21:03,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
28,AX-FEDBNK,Rs 250.00 debited from your A/c using UPI on 10-08-2023 22:45:59 to VPA 9416094828@icici - (UPI Ref No 322218264475)-Federal Bank,10-08-2023 22:46,250.0,debited,0,1,0.00922256379865921,-0.001935448276746803
29,AX-FEDBNK,Rs 100.00 debited from your A/c using UPI on 11-08-2023 09:45:38 to VPA paytmqr10fbnwp49b@paytm - (UPI Ref No 322325101497)-Federal Bank,11-08-2023 09:45,100.0,debited,0,1,0.00366680247416571,-0.11725306041630333
30,AX-FEDBNK,Rs 60.00 debited from your A/c using UPI on 11-08-2023 09:59:45 to VPA Q012980441@ybl - (UPI Ref No 322325571135)-Federal Bank,11-08-2023 09:59,60.0,debited,0,1,0.0021852661209674435,-0.1480044236535184
31,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 11-08-2023 16:55:46 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 322340375081)-Federal Bank,11-08-2023 16:55,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
32,AD-FEDBNK,Rs 180.00 debited from your A/c using UPI on 11-08-2023 19:44:53 to VPA hemang.sengar@upi - (UPI Ref No 322319170497)-Federal Bank,11-08-2023 19:45,180.0,debited,0,1,0.0066298751805622435,-0.05575033394187318
33,AX-FEDBNK,Rs 10.00 debited from your A/c using UPI on 12-08-2023 02:48:50 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 322458775455)-Federal Bank,12-08-2023 02:48,10.0,debited,0,1,0.00033334567946960994,-0.18644362770003725
34,AD-FEDBNK,Rs 459.00 debited from your A/c using UPI on 13-08-2023 11:03:01 to VPA viprevf@hsbc - (UPI Ref No 322511337017)-Federal Bank,13-08-2023 11:03,459.0,debited,0,1,0.016963591244120155,0.15874042463770197
35,AX-FEDBNK,Rs 140.00 debited from your A/c using UPI on 14-08-2023 21:04:39 to VPA hemang.sengar@upi - (UPI Ref No 322669644761)-Federal Bank,14-08-2023 21:04,140.0,debited,0,1,0.0051483388273639765,-0.08650169717908826
36,AX-FEDBNK,Rs 40.00 debited from your A/c using UPI on 14-08-2023 21:44:18 to VPA paytmqrf3tci1g5tc@paytm - (UPI Ref No 322671301315)-Federal Bank,14-08-2023 21:44,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
37,AD-FEDBNK,"Dear Customer, your FedMobile registration has been initiated. If not initiated by you, please call 18004201199. Please do not share your card details/OTP/CVV to anyone -Federal Bank",15-08-2023 10:45,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
38,AD-FEDBNK,"Dear Customer, You have successfully registered for FedMobile. For more details please call 1800 425 1199(India) 91-484-2630994(abroad)-Federal Bank",15-08-2023 10:48,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
39,AX-FEDBNK,Rs 110.00 debited from your A/c using UPI on 15-08-2023 17:22:36 to VPA paytmqrf3tci1g5tc@paytm - (UPI Ref No 322793812848)-Federal Bank,15-08-2023 17:22,110.0,debited,0,1,0.0040371865624652765,-0.10956521960699955
40,AX-FEDBNK,Rs 12.00 debited from your A/c using UPI on 16-08-2023 18:20:50 to VPA eshaanbhatu@okaxis - (UPI Ref No 322840674875)-Federal Bank,16-08-2023 18:20,12.0,debited,0,1,0.0004074224971295233,-0.1849060595381765
41,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 18-08-2023 16:55:44 to VPA paytmqr1evmhdslwz@paytm - (UPI Ref No 323018642712)-Federal Bank,18-08-2023 16:55,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
42,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 19-08-2023 14:22:34 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 323149513111)-Federal Bank,19-08-2023 14:22,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
43,AX-FEDBNK,Rs 5000.00 debited from your A/c using UPI on 20-08-2023 19:05:53 to VPA hemang.sengar@upi - (UPI Ref No 323219658583)-Federal Bank,20-08-2023 19:05,5000.0,debited,0,1,0.18515500574095337,3.649788936142543
44,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 20-08-2023 23:52:09 to VPA hemang.sengar@upi - (UPI Ref No 323214598372)-Federal Bank,20-08-2023 23:52,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
45,AX-FEDBNK,Rs 40.00 debited from your A/c using UPI on 21-08-2023 00:15:58 to VPA paytmqr2810050501017tg1m0ebtaty@paytm - (UPI Ref No 323314814085)-Federal Bank,21-08-2023 00:16,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
46,AX-FEDBNK,Rs 25.00 debited from your A/c using UPI on 21-08-2023 12:41:04 to VPA Q982800471@ybl - (UPI Ref No 323325444138)-Federal Bank,21-08-2023 12:50,25.0,debited,0,1,0.00088892181191896,-0.1749118664860816
47,AD-FEDBNK,Rs 80.00 debited from your A/c using UPI on 21-08-2023 16:13:16 to VPA paytmqr5vox9p91pi@paytm - (UPI Ref No 323332720908)-Federal Bank,21-08-2023 16:13,80.0,debited,0,1,0.0029260342975665765,-0.13262874203491087
48,AX-FEDBNK,Rs 55.00 debited from your A/c using UPI on 23-08-2023 12:51:20 to VPA Q709717496@ybl - (UPI Ref No 323594950346)-Federal Bank,23-08-2023 12:51,55.0,debited,0,1,0.00200007407681766,-0.1518483440581703
49,AX-FEDBNK,Rs 30.00 debited from your A/c using UPI on 23-08-2023 16:28:35 to VPA paytmqr1evmhdslwz@paytm - (UPI Ref No 323512365977)-Federal Bank,23-08-2023 16:28,30.0,debited,0,1,0.0010741138560687433,-0.1710679460814297
50,AX-FEDBNK,Rs 40.00 debited from your A/c using UPI on 24-08-2023 21:05:59 to VPA Q890147386@ybl - (UPI Ref No 323661596344)-Federal Bank,24-08-2023 21:06,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
51,AX-FEDBNK,Rs 600.00 debited from your A/c using UPI on 24-08-2023 22:53:56 to VPA hemang.sengar@upi - (UPI Ref No 323622704614)-Federal Bank,24-08-2023 22:54,600.0,debited,0,1,0.022186006889144044,0.2671389800488851
52,AX-FEDBNK,Rs 40.00 debited from your A/c using UPI on 25-08-2023 13:08:37 to VPA Q709717496@ybl - (UPI Ref No 323777639807)-Federal Bank,25-08-2023 13:08,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
53,AX-FEDBNK,Rs 36.00 debited from your A/c using UPI on 25-08-2023 16:56:41 to VPA paytmqr1uxivovgon@paytm - (UPI Ref No 323785461501)-Federal Bank,25-08-2023 16:56,36.0,debited,0,1,0.0012963443090484833,-0.16645524159584746
54,AD-FEDBNK,Rs 80.00 debited from your A/c using UPI on 30-08-2023 01:07:18 to VPA paytmqr281005050101yn5nebl76ula@paytm - (UPI Ref No 324261970649)-Federal Bank,30-08-2023 01:07,80.0,debited,0,1,0.0029260342975665765,-0.13262874203491087
55,AD-FEDBNK,Rs 40.00 debited from your A/c using UPI on 30-08-2023 13:13:53 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 324274759862)-Federal Bank,30-08-2023 13:13,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
56,AX-FEDBNK,Rs 38.00 debited from your A/c using UPI on 30-08-2023 17:48:29 to VPA paytmqr281005050101ndz7dgs0cia5@paytm - (UPI Ref No 324284464578)-Federal Bank,30-08-2023 17:48,38.0,debited,0,1,0.0013704211267083965,-0.1649176734339867
57,AX-FEDBNK,Rs 19.00 debited from your A/c using UPI on 31-08-2023 16:28:01 to VPA BHARATPE90200151133@yesbankltd - (UPI Ref No 324328047063)-Federal Bank,31-08-2023 16:28,19.0,debited,0,1,0.00066669135893922,-0.17952457097166385
58,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 01-09-2023 02:13:06 to VPA zomatoindia@icici - (UPI Ref No 324495608593)-Federal Bank,01-09-2023 02:13,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
59,AX-FEDBNK,Rs 10.00 debited from your A/c using UPI on 02-09-2023 00:21:49 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 324581488815)-Federal Bank,02-09-2023 00:21,10.0,debited,0,1,0.00033334567946960994,-0.18644362770003725
60,AD-FEDBNK,Rs 16.00 debited from your A/c using UPI on 03-09-2023 14:21:40 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 324644889071)-Federal Bank,03-09-2023 14:21,16.0,debited,0,1,0.00055557613244935,-0.181830923214455
61,AD-FEDBNK,Rs 750.00 debited from your A/c using UPI on 03-09-2023 14:22:28 to VPA hemang.sengar@upi - (UPI Ref No 324644916400)-Federal Bank,03-09-2023 14:22,750.0,debited,0,1,0.02774176821363754,0.38245659218844164
62,AD-FEDBNK,Rs 70.00 debited from your A/c using UPI on 04-09-2023 13:36:06 to VPA paytmqr2810050501011trf2d2oxyy8@paytm - (UPI Ref No 324779724477)-Federal Bank,04-09-2023 13:36,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
63,AX-FEDBNK,Rs 30.00 debited from your A/c using UPI on 04-09-2023 20:11:06 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 324796243210)-Federal Bank,04-09-2023 20:11,30.0,debited,0,1,0.0010741138560687433,-0.1710679460814297
64,AX-FEDBNK,Rs 30.00 debited from your A/c using UPI on 06-09-2023 03:29:26 to VPA zomato-order@paytm - (UPI Ref No 324903464252)-Federal Bank,06-09-2023 03:29,30.0,debited,0,1,0.0010741138560687433,-0.1710679460814297
65,AD-FEDBNK,Rs 27.00 debited from your A/c using UPI on 06-09-2023 16:15:26 to VPA paytmqr281005050101n9k33fokxyl6@paytm - (UPI Ref No 324970632230)-Federal Bank,06-09-2023 16:15,27.0,debited,0,1,0.0009629986295788734,-0.17337429832422083
66,AD-FEDBNK,Rs 35.00 debited from your A/c using UPI on 08-09-2023 12:45:16 to VPA paytmqr2810050501011j7lug4veuav@paytm - (UPI Ref No 325146285108)-Federal Bank,08-09-2023 12:45,35.0,debited,0,1,0.0012593059002185265,-0.16722402567677783
67,AD-FEDBNK,Rs 40.00 debited from your A/c using UPI on 08-09-2023 14:24:03 to VPA Q717253132@ybl - (UPI Ref No 325150250321)-Federal Bank,08-09-2023 14:24,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
68,AD-FEDBNK,Rs 120.00 debited from your A/c using UPI on 08-09-2023 15:33:31 to VPA gpay-11193610541@okbizaxis - (UPI Ref No 325152844497)-Federal Bank,08-09-2023 15:33,120.0,debited,0,1,0.0044075706507648435,-0.10187737879769579
69,AD-FEDBNK,Rs 38.00 debited from your A/c using UPI on 08-09-2023 16:06:17 to VPA paytmqrg8fa8yhod3@paytm - (UPI Ref No 325154031060)-Federal Bank,08-09-2023 16:06,38.0,debited,0,1,0.0013704211267083965,-0.1649176734339867
70,AX-FEDBNK,Rs 140.00 debited from your A/c using UPI on 08-09-2023 16:42:11 to VPA 7619272231@okbizaxis - (UPI Ref No 325155368500)-Federal Bank,08-09-2023 16:42,140.0,debited,0,1,0.0051483388273639765,-0.08650169717908826
71,AX-FEDBNK,Rs 2200.00 debited from your A/c using UPI on 08-09-2023 17:38:27 to VPA hemang.sengar@upi - (UPI Ref No 325157676488)-Federal Bank,08-09-2023 17:38,2200.0,debited,0,1,0.0814474610170747,1.497193509537488
72,AD-FEDBNK,Rs 200.00 debited from your A/c using UPI on 10-09-2023 21:00:24 to VPA 9416094828@icici - (UPI Ref No 325353212938)-Federal Bank,10-09-2023 21:00,200.0,debited,0,1,0.0073706433571613765,-0.04037465232326565
73,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 10-09-2023 21:57:08 to VPA paytmqr2810050501011q7i9antb6i6@paytm - (UPI Ref No 325355271089)-Federal Bank,10-09-2023 21:57,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
74,AD-FEDBNK,Rs 50.00 debited from your A/c using UPI on 11-09-2023 02:20:26 to VPA paytmqr281005050101yn5nebl76ula@paytm - (UPI Ref No 325458455276)-Federal Bank,11-09-2023 02:20,50.0,debited,0,1,0.0018148820326678765,-0.15569226446282217
75,AD-FEDBNK,Rs 355.25 debited from your A/c using UPI on 17-09-2023 01:00:50 to VPA zomato-order@paytm - (UPI Ref No 326006322295)-Federal Bank,17-09-2023 01:00,355.25,debited,0,1,0.013120856328012147,0.07897907624117535
76,AX-FEDBNK,Rs 150.00 debited from your A/c using UPI on 19-09-2023 21:03:53 to VPA hemang.sengar@upi - (UPI Ref No 326228204635)-Federal Bank,19-09-2023 21:03,150.0,debited,0,1,0.0055187229156635435,-0.07881385636978448
77,AX-FEDBNK,Rs 100.00 debited from your A/c using UPI on 22-09-2023 16:07:47 to VPA Q091315351@ybl - (UPI Ref No 326533821605)-Federal Bank,22-09-2023 16:07,100.0,debited,0,1,0.00366680247416571,-0.11725306041630333
78,AD-FEDBNK,"Dear Hemang Singh Sengar, your KYC record bearing no. 60021195228129 is registered with Central KYC Registry by us -Federal Bank",26-09-2023 11:22,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
79,AX-FEDBNK,Rs 80.00 debited from your A/c using UPI on 26-09-2023 19:22:06 to VPA BHARATPE.90067881670@fbpe - (UPI Ref No 326911995509)-Federal Bank,26-09-2023 19:22,80.0,debited,0,1,0.0029260342975665765,-0.13262874203491087
80,AX-FEDBNK,Rs 25.00 debited from your A/c using UPI on 26-09-2023 19:34:52 to VPA paytmqr281005050101186pz2i2xwbr@paytm - (UPI Ref No 326912710816)-Federal Bank,26-09-2023 19:34,25.0,debited,0,1,0.00088892181191896,-0.1749118664860816
81,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 26-09-2023 22:51:00 to VPA paytmqr2810050501011npg2qbg3kbn@paytm - (UPI Ref No 326920511655)-Federal Bank,26-09-2023 22:51,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
82,AD-FEDBNK,Rs 32.00 debited from your A/c using UPI on 27-09-2023 20:27:21 to VPA Q695391644@ybl - (UPI Ref No 327054350391)-Federal Bank,27-09-2023 20:27,32.0,debited,0,1,0.0011481906737286565,-0.16953037791956896
83,AD-FEDBNK,Rs 534.00 debited from your A/c using UPI on 30-09-2023 16:42:02 to VPA minimalist153.rzp@icici - (UPI Ref No 327367000512)-Federal Bank,30-09-2023 16:42,534.0,debited,0,1,0.0197414719063669,0.2163992307074802
84,AX-FEDBNK,Rs 31.00 debited from your A/c using UPI on 30-09-2023 20:25:37 to VPA Q695391644@ybl - (UPI Ref No 327378527158)-Federal Bank,30-09-2023 20:25,31.0,debited,0,1,0.0011111522648986998,-0.17029916200049933
85,AD-FEDBNK,Rs 60.00 debited from your A/c using UPI on 01-10-2023 18:34:09 to VPA paytmqr2810050501017tg1m0ebtaty@paytm - (UPI Ref No 327422919812)-Federal Bank,01-10-2023 18:34,60.0,debited,0,1,0.0021852661209674435,-0.1480044236535184
86,AD-FEDBNK,Rs 50.00 debited from your A/c using UPI on 01-10-2023 19:54:05 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 327427591014)-Federal Bank,01-10-2023 19:54,50.0,debited,0,1,0.0018148820326678765,-0.15569226446282217
87,AX-FEDBNK,Rs 42.95 debited from your A/c using UPI on 01-10-2023 21:40:01 to VPA paytm-51955531@paytm - (UPI Ref No 327432490950)-Federal Bank,01-10-2023 21:40,42.95,debited,0,1,0.001553761250416682,-0.16111219223338133
88,AX-FEDBNK,Rs 25.00 debited from your A/c using UPI on 02-10-2023 21:48:53 to VPA Q695391644@ybl - (UPI Ref No 327573046659)-Federal Bank,02-10-2023 21:48,25.0,debited,0,1,0.00088892181191896,-0.1749118664860816
89,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 03-10-2023 07:59:17 to VPA paytmqr7mgo9go4u8@paytm - (UPI Ref No 327678403702)-Federal Bank,03-10-2023 07:59,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
90,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 03-10-2023 08:38:30 to VPA Q811308162@ybl - (UPI Ref No 327679361291)-Federal Bank,03-10-2023 08:38,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
91,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 03-10-2023 17:14:56 to VPA 9880453501@axl - (UPI Ref No 327610241708)-Federal Bank,03-10-2023 17:15,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
92,AX-FEDBNK,Rs 22.00 debited from your A/c using UPI on 03-10-2023 19:37:22 to VPA Q695391644@ybl - (UPI Ref No 327618016159)-Federal Bank,03-10-2023 19:37,22.0,debited,0,1,0.00077780658542909,-0.17721821872887272
93,AX-FEDBNK,Rs 38.00 debited from your A/c using UPI on 04-10-2023 15:23:33 to VPA Q695391644@ybl - (UPI Ref No 327747753651)-Federal Bank,04-10-2023 15:23,38.0,debited,0,1,0.0013704211267083965,-0.1649176734339867
94,AD-FEDBNK,Rs 40.00 debited from your A/c using UPI on 04-10-2023 21:04:52 to VPA paytmqr2810050501011guqrtwd2pec@paytm - (UPI Ref No 327764418656)-Federal Bank,04-10-2023 21:04,40.0,debited,0,1,0.0014444979443683098,-0.16338010527212593
95,AX-FEDBNK,Rs 46.00 debited from your A/c using UPI on 07-10-2023 20:14:16 to VPA Q695391644@ybl - (UPI Ref No 328097242477)-Federal Bank,07-10-2023 20:14,46.0,debited,0,1,0.0016667283973480498,-0.15876740078654367
96,AX-FEDBNK,Rs 5.00 debited from your A/c using UPI on 08-10-2023 21:07:58 to VPA paytmqr1fqv58o4wi@paytm - (UPI Ref No 328151923412)-Federal Bank,08-10-2023 21:08,5.0,debited,0,1,0.00014815363531982666,-0.19028754810468912
97,AD-FEDBNK,Rs 70.00 debited from your A/c using UPI on 08-10-2023 21:31:41 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 328152913587)-Federal Bank,08-10-2023 21:31,70.0,debited,0,1,0.00255565020926701,-0.14031658284421464
98,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 09-10-2023 07:08:06 to VPA Q150395370@ybl - (UPI Ref No 328258267620)-Federal Bank,09-10-2023 07:08,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
99,AD-FEDBNK,Rs 100.00 debited from your A/c using UPI on 09-10-2023 13:11:03 to VPA 8300466889@ibl - (UPI Ref No 328270934211)-Federal Bank,09-10-2023 13:11,100.0,debited,0,1,0.00366680247416571,-0.11725306041630333
100,AD-FEDBNK,Rs 25.00 debited from your A/c using UPI on 09-10-2023 16:15:10 to VPA Q811308162@ybl - (UPI Ref No 328278476619)-Federal Bank,09-10-2023 16:15,25.0,debited,0,1,0.00088892181191896,-0.1749118664860816
101,AD-FEDBNK,Rs 84.00 debited from your A/c using UPI on 09-10-2023 18:55:27 to VPA Q779750558@ybl - (UPI Ref No 328286442904)-Federal Bank,09-10-2023 18:55,84.0,debited,0,1,0.0030741879328864035,-0.12955360571118935
102,AD-FEDBNK,Rs 20.00 debited from your A/c using UPI on 10-10-2023 13:57:37 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 328325262312)-Federal Bank,10-10-2023 13:57,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
103,AX-FEDBNK,Rs 95.00 debited from your A/c using UPI on 10-10-2023 19:01:54 to VPA Q779750558@ybl - (UPI Ref No 328338910861)-Federal Bank,10-10-2023 19:02,95.0,debited,0,1,0.0034816104300159265,-0.12109698082095521
104,AX-FEDBNK,Rs 18.00 debited from your A/c using UPI on 10-10-2023 21:31:13 to VPA paytmqr1uxivovgon@paytm - (UPI Ref No 328347636897)-Federal Bank,10-10-2023 21:31,18.0,debited,0,1,0.0006296529501092634,-0.18029335505259422
105,AD-FEDBNK,Rs 2.00 debited from your A/c using UPI on 10-10-2023 21:37:36 to VPA paytmqr1uxivovgon@paytm - (UPI Ref No 328347923350)-Federal Bank,10-10-2023 21:37,2.0,debited,0,1,3.7038408829956664e-05,-0.19259390034748025
106,AX-FEDBNK,Rs 50.00 debited from your A/c using UPI on 10-10-2023 22:16:32 to VPA Q973911035@ybl - (UPI Ref No 328349499073)-Federal Bank,10-10-2023 22:16,50.0,debited,0,1,0.0018148820326678765,-0.15569226446282217
107,AX-FEDBNK,Rs 20.00 debited from your A/c using UPI on 11-10-2023 17:02:37 to VPA paytmqr7mgo9go4u8@paytm - (UPI Ref No 328476198630)-Federal Bank,11-10-2023 17:02,20.0,debited,0,1,0.0007037297677691766,-0.1787557868907335
108,AX-FEDBNK,Rs 1.00 debited from your A/c using UPI on 13-10-2023 11:29:22 to VPA hrishantsingh.ff01@oksbi - (UPI Ref No 328656452986)-Federal Bank,13-10-2023 11:28,1.0,debited,0,1,0.0,-0.19336268442841065
